review,sentiment
"w sezonie letnim średnio pali 6,5/100 a w zimę średnio 9/100. W zimę strasznie rosieje, słabo sie nagrzewa - ogólnie kiepski - nie polecam",0
Miałem już 2 x-traile diesle i teraz kupię benzynę albo hybrydę.,0
Dobre funkcjonalne auto nie psuje się,1
"Przyzwoity samochód, bardzo przestronny. Mój egzemplarz jest praktycznie niezawodny.",1
Licze na solidna blache i odpornosc na rdze,1
Samochód idealny dla kobiety łatwo sie go prowadzi bez awaryjny i ładny Mankamentem sa czesci bardzo drogie brak zamienników ,1
auto rodzinne zrobione do częstych wizyt u mechaników ,0
średnie auto,0
"Samochód nie do zajeżdżenia, warto poszukać wersji wyposażonej w tempomat, automatyczną klimatyzację itp - najczęściej dobrze wyposażone są PASSATY GT",1
"Dobry samochod ale bez fajerwerków ,kiepska obsługa dilerska ",0
"dobre autko do miasta. osiągi w 1,4 vti zadowalające, tak jak napisałem, falujące obroty i żarówki to wada, wygląd zew to plus. mam nadzieje, że wytrzyma chociaż te 75.000 km.",0
Model ogólnie udany.,1
Nigdy bym ponownie takiej głupoty nie zrobiła. Z daleka od francuzów! A już na pewno od diesli. Teraz kupię elekyryka,0
"Szczerze nie polecam, wcześniej byłam w posiadaniu clio III, wiele bym dała żeby do niego wrócić. Nic poza ładnym wyglądam :-(",0
"Nissan Note 1,6 nie nadaje się do gazu. nigdy nie kupił bym jeszcze raz tego auta. chyba że bez gazu. teraz paliwo tanie a i pali noewiele",0
fajne auto ,1
"Polecam auto , szczególnie dużej rodzinie",1
dzięki archaicznej konstrukcji w miarę żywotne,0
Fajny suw gdyby nie ten silnik,0
Jeśli ktoś jeździł wcześniej autem dynamicznym nie polecam.Dobry jako pierwsze auto dla świeżo upieczonego kierowcy ,0
samochód dla początkujących [ niska cena zakupu ].,0
auto ok,1
"Ogólnie bardzo fajny samochód, jeśli się dba i regularnie serwisuje. ",1
Zaskakująco ciekawy pojazd za przyzwoitą cenę. W nietuzinkowym kolorze naprawdę robi dobre wrażenie.,1
NIE POLECAM,0
auto jest naprawde beznadziejne ,0
Serwis autoryzowany bardzo słaby. Praktycznie nowe auto bez gwarancji.,0
odradzam,0
"Na razie zrobiłem w rok 60000, ale jestem zadowolony",1
Nie polecam tego autka nikomu. Więźniow powinno sie tym przewozic jako kare,0
bardz dobrze sie wnim odnajduje,1
Bardzo dobre auto za stosunkowo nieduże pieniądze.,1
Brak słów na ten silnik jeśli chcecie jusz kupic passata to szukajcie z 1.9 TDI bo z 2.0 mogą być niespodzianki,0
samochod godny polecenia ale nie z tym silnikiem ,0
ok,1
Kupiłbym tylko podwarunkiem ze z silnikiem 90KM,0
Dobry samochód za niewielkie pieniądze ,1
Daje dużo frajdy z jazdy,0
"Nadwozie dobre do pracy, silnik ma za mało mocy i za dużo pali.",0
Auto mocno eksploatowane z uszkodzonym zderzakiem. Bez przeglądu ,0
"Idealny samochód dla 4 osobowej rodziny. Daje radę z pszyczepka, wozilem po tonie",1
Rewelacyjne autko. Bezawaryjne. Solidny japończyk godny polecenia.,1
Polecam,1
"Miałem go ponad 1,5 roku. Przez ten czas 0 awarii i wszystko było tak jak powinno być. Wymiana tylko z powodu zmiany na większy samochód.",0
"Chujowa reakcja na gaz, chujowe sprzęgło odstaje od konkurencji. Słabe co widać po cenie, nie dajcie się nabrać, drugi raz bym nie kupił",0
"ciagle się psuje,zawieszenie totalna porazka",0
Elektryka daje czasem o sobie znać .. auto wygodne i komfortowe na długie trasy ,1
"auto jest wadliwe bynajmniej w moim przypadku , wbrałem sie na trase i po przejechaniu 1000 km wał sie przekręcił{zerwał się} i nie wiadomo dlaczego",0
Jak na pierwsze auto moze byc.dosc tani w zakupie Utrzymanie troszke kosztuje.ale mocy nie brakuje Ciagle koszty na czesci. Uklad elektryczny to porazka. I noe tylko ja mialem problemy z kablami,0
"Polecam 5-6 letni, wtedy cena jest realna do wartości.",1
"Bardzo fajne auto, idealne dla rodziny. Ostatnie siedzenia raczej awaryjne lub dla dzieci. Przemyślane wnętrze, idealne przy wsiadaniu (zwłaszcza w mieście) drzwi boczne. ",1
Auto bezproblemowe i ponadczasowe.,1
"Polecam bo jest mało awaryjne,dobrze zabezpieczone przed korozją :)",1
Samochód tak wykonany powinien kosztować 30000 zł a nie 60000,0
Super samochód ,1
Fajne Autko ale nie warte więcej niż 1500 zł :) ,0
Fajne auto rodzone,1
"no cóż, bardzo, bardzo słabo. w porównaniu do Bravo II to duży krok w tył",0
"Nie kupiłbym, bo już oczekuję czegoś lepszego, ale jeśli miałby znów do dyspozycji tyle pieniędzy, to jak najbardziej kupiłbym tą astrę znów.",0
"Ładny wygląd, spora przestrzeń, ładna deska rozdzielcza, napęd rozrządu łańcuchem",1
"Nie kupię drugi raz, nie pasuje mi, chociaż nie sposób docenić walory użytkowe. Drogie części zamienne!!!",0
"Autko dla osób, które wybiorą je świadomie. Jeżeli odpuści się wymagania co do komfortu i nowoczesnosci to reszta nie zawiedzie.",1
...,0
szrot,0
"Jego czas już przeminął, ale kiedy był lepszy niż konkurencja",0
Bardzo fajny rodzinny samochód z paroma denerwującymi szczegółami. Największą wadą jest skrzynia biegów! O ile to możliwe należy brać automat.,1
"Mimo że posiadam go już cztery lata, to kupiłbym takiego jeszcze raz. Tylko że diesela albo benzynę z mocniejszym silnikiem.",1
Dobry silnik .Po zimie rdza ,1
"Oszczędny silnik, ogromne wnętrze, wymiary które w mieście są idealne, a na trasie nie masz kompleksów. Bardzo polecam ;-)",1
"Nareszcie astra dogonila czołówkę kompaktów, jest samochodem dopracowanym i w pełni zasłużył na tytuł najlepszego auta roku 2016.",1
"Ładny, wygodny duży sedan. W dobrej cenie zakupu i kosztach eksploatacji. Jeśli będzie się dbać i spokojnie jezdzić długo posłuży.",1
"Dobry silnik, słaba skrzynia (francuska), przyjemnie przyspiesza i dobrze się prowadzi. Bardzo wygodna na trasę a i w mieście odpowiednio zwrotna.",0
"Nie radzę wydawać pieniędzy na to japońskie ""cudo""",0
"Mając do wyboru Tipo lub kay inny , wybieram to drugie",0
"Słaba jakość wykonania ,zbyt miękkie na zakrętach,awaryjny silnik",0
"Ogólnie do dupy,nie kupiłbym drugi raz tego auta. ; )",0
Na pierwszy samochód z ograniczonym budżetem - wybór O.K. ,0
OK ,0
"wiecej zalet niz wad,ale do wzorca nieco brakuje.",0
dość dobry samochód za niewielkie pieniądze,0
nie warto kupowac,0
uzywam go do jazdy do pracy bo jest z gazem mysle ze VW okazal by sie lepszy :),0
Całkiem udane auto,0
fajen auto za maly wklad brak konsumowania oleju w silniku eco tec,1
"Ciagle sie psuje , ma tylko 230tys przebiegu ",0
"Bardzo dobry stan auta. Zadbane bez prowizorek, Książka serwisowa ,wszelkie wpisy i wymiany.",1
olecam naprawdę jestem miło zaskoczony tym fiatem,1
W SAMOCHODZIE ZAMONTOWANA BYŁA SKRZYNIA BIEGÓW AUTOMATYCZNA CZ-TERO STOPNIOWA CO NA TRASIE POWODOWAŁO ZNACZNE OGRANICZENIA PRĘDKOŚCI W ZWIĄZKU Z NASILAJĄCYM SIĘ HAŁASEM ,0
 .,1
Nie polecam!!!,0
a takie w sam raz,0
"Trochę dużo pali. Ale wygodny, przestronny, zaliczył już kilka wyjazdów calorodzinnych.",1
"bardzo udany samochód, ładny i oszczędny. Jak do tej pory bez najmniejszej usterki",1
Polecam.,1
Autko sprawuje sie świetnie. Bogato wyposażone auto (full opcja) w rozsądnych pieniądzach. ,1
bierze duzo oleju czesto cos sie psulo .Automat ok ,0
"Dobre auto na początek, tanie w utrzymaniu lecz zdarzają się awarie lecz nie są to zbyt poważne uszkodzenia",0
Kłopotliwy samochód z kiepskim silnikiem GDI i jeszcze gorszą skrzynią renault.Nie polecam.,0
"Bardzo dobry samochód z awaryjnym silnikiem który nie powinien zawodzić przez setki tysięcy kilometrów , a jednak zawodzi.",0
Najgorsze guwno jakie mialem,0
Bardzo fajny samochód,1
kupiłbym te auto jeszcze raz tylko z mocniejszym motorem 2.0 spalanie będzie takie samo,1
fajna fura wygodna w dalekie trasy silnik ok ,1
zadowolony,1
Witam serdecznie ,1
Nic na f. fiaty fordy i francuzy,0
"Patrząc na przebieg myślę że jest niezły choć drogi , Doblo jest ok 12000 zł netto tańszy i nie ustępuje mu w niczym poza światłami ksenonowymi ",1
"Z względu na złą konstrukcie siedzenia z przodu nie kupił bym tego auta ponownie, usterki w aucie np .wycieraczki,turbo,pompa wtryskowa przy 150 tys. cieknie.",0
fsf,1
"Fantastyczny samochod dla malych i duzych rodzin, do poruszania sie po miescie, wypadu poza miasto, jak i na dlugie trasy.",1
Auto godne polecenia dość trwałe i bardzo wygodne,1
"auto po przebiegu 200.000 bardzo awaryjne skrzynia biegów.dwumas,turbina",0
pewnie,1
"Duży, komfortowy, solidny samochód w niskiej cenie. NAPRAWDĘ WARTO KUPIĆ...",1
Dobre auto nawet bardzo dobre natomiast słabo z serwisem opla. ,1
Gdybym teraz kupował samochód z całą pewnością wybrałbym Opla Corse.,1
"Jak dla mnie to dobre auto, przyjemnie się jeździ. Nie ma co oczekiwać od niego komfortu jak w Mercedesie czy BMW. Idealny jako auto rodzinne. ",0
"Auto godne polecenia, ",1
"polecam, polubicie to auto.",1
"od czerwca do sierpnia non stop w naprawie. wszystko sie sypie. ODRADZAM, mało pali ale co z tego jak rzadko jest na chodzie",0
dobre do nauki ale nic pozatym,0
C1 fajna fura szczególnie ta po lifcie fajne się nią spokojnie i dostojnie jeździ po mieście ,1
Przez 7 lat używania nie sprawiał żadnych problemów,1
Bez problemu daje rade 340 km/h.,1
"Gdyby nie głośna praca silnika, to kupiłbym zdecydowanie ponownie ten model",0
"Auto sprawuje się ogólnie dobrze,ale przebieg jest mały.Lekko skorodowane zawieszenie, układ hamulcowy i wydechowy.Klocki hamulcowe do wymiany.",0
nie jest to auto godne polecenia,0
"Auto do jazdy z rodziną, do przewożenia ludzi, oraz wielkogabarytowych ładunków. Niezawodne, mało elektroniki. Pojazd nadaje się dla rodziny, jak i na budowę.",1
"Bardzo przyjemne auto, żałuję że sprzedałem. ",1
Rewelacyjne auto,1
"Dobry samochód za rozsądne pieniądze, silniki eco-tec mało elastyczne i paliwożerne. Trzeba dbać o te samochody bo inaczej zje je nam rdza:)",0
ujdzie,0
"Mam 10 letni egzemplarz, który użytkuję od 7 lat. Signum cosmo, sport automat. Świetne auto, zero awarii ! Polecam",1
Supermini a większy od klasy aut B! ,1
Żona główny użytkownik jest zachwykonanie wcześniej jeździła Audi a4 2.0tdi i woli isie ,1
"Samochód jest słaby, mała podaż z polskich salonów",0
"Fajny samochód do niedużej firmy. Zamieniłem z VW T5 i nie żałuję! Tańszy w eksploatacji, brak problemów z korozją,bardziej pakowny. Moja wersja to 6 osób tzw brygadowka. Polecam. ",1
Polecam takie auto .,1
Kupulbym ake nienz tym silnikiem,1
Jedyna wada to słaba blacharka. Przez tyle lat wymiana jedynie zużywających się części.,1
Jazda extra. Jakość mierną. Ogólnie 4 za komfort jeśli poprawią jakość to6!,0
Auto ogólnie fajne ale tego silnika to unikać jak ognia !,0
Idealne auto zarówno do szybkiej jazdy na trasie jak i na rodzinne wycieczki,1
Super. W porównaniu z Fordem Customem i VW to prepasc. W Fordzie razi warkotliwy silnik i bardzo twarde zawieszenie. W VW przeraża cena. Stylistyki nie oceniam. ,1
"ciekawy mały SUV z napędem 4x4, za niecałe 100 tys.",1
"Miałem go wypożyczonego na wakacjach. Nie podejrzewałem, że tak źle może się prowadzić nowoczesny samochód (no chyba, że to generalna bolączka wszelkich ""podwyższonych"" samochodów ?!)",0
Dobry,1
"Nie kupił bym ponownie Zafiry z tym silnikiem.Być może 1,8 bez wydziwnień w stylu klapek w kolektorze (twinport).",0
eetam,0
Samochód złożony z pozostałości części z innych modeli. Plastikowe paliwozerne plastikowe wozidełko.,0
"marne materiały, nieprecyzyjna skrzynia biegów, jak na tę klasę samochodu za dużo usterek, skrzypiące części, kiepskie fotele, brak podłokietnika, brak wyświetlacza dla temperatury silnika. ",0
"Auto bardzo komfortowe, przestronny bagażnik jest dużym plusem. Idealne dla rodziny 2+2",1
"Auto godne polecenia, rodzinne, dobrze wyposażone (wersja Limited) Polecam.",1
FATALNE AUTO NAJGORSZE JAKIE MIAŁEM - ,0
Jak za ta kasa mogłem kupić lepsze i wydajnesze auto Czesia się ze go sprzedałem choć z ogromna strata polecam Vw LT,0
"oceniam ogólnie samochód na BARDZO DOBRY, wygodny, tani w utrzymaniu, łatwo się nim jeździ.",1
Mazdy nie należy się bać To najpiękniejsza azjatka Daje dużo radości i frajdy z jazdy Ciągle cieszy i kusi oko,1
Pierwszy i ostatni Raz Hyundai. Jak sprzedawali mi auto to 10 telefonów dziennie a teraz zero informacji.,0
Po tym samochodzie nieco wyleczyłem się z Mazdy.,0
"To dobre auto dla młodej rodziny.Wygodne oraz z dużym bagaznikiem,który pomieści wszystko.Niemieckie auta w tej klasie z tych lat są dużo gorsze.",1
auto wiecznie się psujące ,0
"Autko, które podczas jazdy wymusza i wywołuje uśmiech na twarzy.",1
Najbardziej wypasione i komfortowe auto na rynku.,1
"Laguna z przebiegiem ponad 400tysięcy km. Nadal służy. Niestety bardzo straciła na wartości od czasu zakupu. Nie warto jej więc sprzedawać, ale warto kupić taki model",1
auto super,1
tak ale z mocniejszym silnikiem,1
słaba,0
Ford Polska nie istnieje.Od 17 dni samochód w serwisie .Nikt z Forda tel nie odbiera.Zgloszenie o kontakt internetem też olewają.Nie dajcie się oszukać .,0
Czas zmienić markę,0
"Bardzo dobry, motr niezawodny. 5 lat bez problemow.",1
ogólnie ok,0
"2.7 TDI , 125KM jednostka nie do zajechania/ 370 000 tys.km , super auto ....",1
"Łańcuszek rozrządu wymieniłem przy 90,000 tyś km Elektryczne wspomaganie wymieniłem przy 100,00 tyś km Teraz mam problem ze sprzęgłem 130,000 tys km",0
NIGDY WIĘCEJ NIE KUPIĘ SAMOCHODU Z SILNIKIEM NIE DOKŁADNIE PRZETESTOWANYM,0
"Jedno z najlepszych aut jakimi jeździłem, przy cenie rzędu 30 tys luksus dużo droższego auta ",1
Dno dno i złom,0
OK,1
Chyba wszystko już napisałem powyżej ,1
"Auto nowe, więc wszystko działa. Po przejechaniu 200 km wrażanie i odczucia bardzo pozytywne. Jak na razie jestem zadowolony. Wrócę opisać autko po przejechaniu kilku tys km.",1
Nie polecam najgorszemu wrogowi.,0
"Rdza, rdza i jeszcze raz rdza",0
Ogólnie ok,1
Wszystko się co chwilę psuje. Części drogie. Ogólnie na początku byłem zachwycony samochodem ale dzisiaj najchętniej wysadziłbym go w powietrze. ,0
Samochód aspirujacy do klasy premium. ,1
Ok,0
"uciekajcie ludzie od fiata jak najdalej szczególnie że te super opinie wiadomo kto wystawia , ja już żadnego fiata nie kupię nawet za darmo go nie chce ani żadnego włoskiego gówna",0
Jeżeli miał bym kupić espace to w grandzie i w benzynie z gazem najlepiej,0
Bardzo rozczarowało mnie to auto. Zachwycony może być ten co przesiadl sie z matiza lub poloneza..,0
"Super,super i jak sama nazwa modelu wskazuje SUPER(b)",1
Fajne autko.,1
Kupując miałem obawy. Dzisiaj nie żałuję. Po 7 latach użytkowania nawet żarówki są oryginalne.,1
HMM OGÓLNIE TO NIE POLECAM,0
Duże auto robocze. Średnio komfortowe ale pojemne.,1
Dobre auto,1
"1.2 tce 120 km , skrzynia manualna",0
ok,0
"Ile ludzi tyle opini. Ja bym kangoo już nie kupił,ale to tylko moje zdanie.Dlaczego???-patrz oceny",0
"Po tym jak zachowuje się Hyundai Motor Poland w związku z problemem ze skrzynią biegów w moim samochodzie, stanowczo odradzam zakup samochodu tej marki.",0
generalnie wygodny częssto w serwisie,0
bardzo fajne auto .jak będę zmieniał to na lagunę tylko nowszą,1
"Auto ma same zalety, za wyjątkiem jego wyglądu. ",0
przestronne dynamiczne nie rzucające się w oczy wozidło;-),0
Da się nim jeździć.,0
auto godne polecenia części tanie małe spalnie ,1
"fajne autko , ale czas robi swoje",1
Bardzo słabiutke autko. ,0
Bardzo fajny suv,1
samochód dla osób wjeżdżających od czasu do czasu w trudniejszy teren np działka bez drogi dojazdowej. Zużycie paliwa porównywalne z innymi modelami tej pojemności silnika. Trwały samochód.,1
Ogólnie na trasy ok ! ,1
"Auto godne polecenie solidna japonska robota,od 220000-245000 nic sie nie zepsulo, jedynie olej wymieniam co 10k i jezdze ",1
nie nadaje się do zagazowania,0
Super jest,1
"Samochód mały, w sam raz dla Kobiet... Mało komfortowy.",0
Złom,0
samochód okej ale nie kupiłbym go ponownie ponieważ kupiłem nowszy golf 2 no może nie nówka ale jeździ,0
"Bardzo dobry samochód, ale hamulce, jak długo mnie bardzo słabe. ",1
Mogło by być bardziej ciche,0
"Auto nowe, salonowe, jeszcz mały przebieg, wszystko ok. Zwinne, szybkie, stabilne, w miarę komfortowe, w miarę ciche przy prędkościach maksymalnych 140, i ... dokładnie według potrzeb i środków. ",0
"po 20 000 km posypały się łożyska,z każdym przejechanym km odnoszę wrażenie że to nie był dobry wybór auta.",0
"Na dojazdy do pracy, krótkie trasy - ok. Dalsze podróże - męczarnia. Trasa do Anglii, 2000 km, 30 godzin jazdy. W głowie huczało jak we młynie.",0
"Auto świetnie się prowadzi, wygodne, napęd zimą rewelacja, ale blacharka i silnik do kitu.",0
"Części tanie,wygląd zewnętrzny jak i wnętrza pozytywny.W kolejnych latach eksploatacji-usterki wychodża,za dużo plastyków,brak w ofercie automatycznej skrzyni biegów",0
Auto bardzo fajne. Ale mało docenione na polskim rynku. Można trafić fajny egzemplarz w ogłoszeniach z polskiej sieci sprzedaży. Tani w eksploatacji.,1
Po 4 latach użytkowania 0 napraw,1
"Nie polecam,chyba że na gwarancji.",0
"Fajne, zgrabne i ładne auto. trochę niedoróbek- np.kluczyk już sam się składa-sprężyna zepsuta",0
"Wszystko ok, tylko sporo pali ",1
"auto wygłąda nieżle , nieżle się prowadzi , awaryjne katastrofalnie",0
bardzo dobre autko,1
"samochód na tyle drogi , że jego jakość jest zdecydowanie za niska - awaryjność silnika okropnie wysoka , co powoduje ogólne niezadowolenie z pojazdu.",0
Za te pieniądze rewelacja. Zamiast chodzić w markowych trampkach wolę luksusowe adidasy.,1
Mimo wad to i tak nieźle auto. Komfort jazdy to petarda. ,1
jak na swój wiek i cenę ok 9000 tyś auto godne polecenia niskie koszty utyrzymania,1
wart swoich pieniędzy,0
Bardzo zrywne i tanie autko dla każdego kierowcy.,1
W sumie solidne male autko zarowno do jazdy miejskiej jak i na dluzsze wypady spalanie w granicach rozsadku na kazda kiszen. Auto raczej do jazdy w dwie osoby. ,1
Ford ok.,1
Nie kupiłbym tego samochodu z tym silnikiem drugi raz o wiele lepsze opinie zbiera 2 litrowa benzyna.,0
"Średnio, olej pije jak smok! ",0
Szkoda gadac lipa w miodzie,0
"kto co lubi nie na szybko pokonywanie dalekich tras po Europie,nieźle na co dzień do pracy na zakupy czy wypad na wieś lub ryby",0
"Auto bardzo awaryjne, jadąc na kolejny przegląd aż się boję czy spamiętam wszystkie usterki. Znajomi posiadający Kia Rio mają takie same problemy",0
Dobra ,1
Takich aut już nie ma,1
Wygodne Auto,1
"samochód bardzo udany, mocny i wytrwały ale do blaszaka nie nadaje się diesel w dłuższe trasy, benzynowy jest o wiele lepszy, cichszy",1
"Nie chciałbym mieć takiego samochodu, jest mały więc z parkowaniem nie ma problemu. Drążek skrzyni biegów luźno wchodzi. Nie podobają mi się plastiki. Nadaje się do jazdy do pracy i z powrotem.",0
"Auto POMYŁKA !!! tylko wygląd na fajny ,mechanicznie gorszy od Fiata .Nigdy więcej nie kupie tego badziewia !!!",0
Co bądź ,0
"idealny samochód dla rodziny, nic więcej nie trzeba dodawać, jednak jak ktoś kupi wersje z silnikiem 100 KM oczekując ostrej jazdy to się zawiedzie, ",1
Nie polecam 1.5 DCi,0
"Jakość wykończenia i użyte materiały użyte wenątrz auta w tej klasie auta nie do zaakceptowania, w Golf V deska rozdzielcza dużo lepszej jakości, w Passacie skrzypi jak w starym zamczysku. ",0
Niezłe auto ale nie dla mnie,0
"Zobaczymy jak z trwałością - jeśli będzie przyzwoita, auto będę mógł polecać Paniom na zakupy i wycieczki za miasto.",0
